Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,201382,-,-,-,33.93,-118.42,-8,12,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2013,1,1,0,0,10.3,1.1300000000000001,0.081,0.64,0,0,0,0,7,-0.30000000000000004,0,0,0,0,0.304,47.92,169.03,0.91,0.16,1020,1.1,31,0.9,0.0000,0.0000
2013,1,1,0,30,10,1.1300000000000001,0.081,0.64,0,0,0,0,4,-0.30000000000000004,0,0,0,0,0.304,48.89,166.91,0.91,0.16,1020,1.1,30,1,0.0000,0.0000
2013,1,1,1,0,9.700000000000001,1.1400000000000001,0.079,0.64,0,0,0,0,4,-0.6000000000000001,0,0,0,0,0.304,48.5,162.43,0.91,0.16,1020,1,29,1.1,0.0000,0.0000
2013,1,1,1,30,9.3,1.1400000000000001,0.079,0.64,0,0,0,0,7,-0.6000000000000001,0,0,0,0,0.304,49.82,156.94,0.9,0.16,1020,1,35,1.3,0.0000,0.0000
2013,1,1,2,0,8.9,1.1500000000000001,0.078,0.64,0,0,0,0,7,-0.9,0,0,0,0,0.304,50.27,151.03,0.9,0.16,1019,1,41,1.4000000000000001,0.0000,0.0000
2013,1,1,2,30,8.6,1.1500000000000001,0.078,0.64,0,0,0,0,6,-0.9,0,0,0,0,0.304,51.300000000000004,144.93,0.9,0.16,1019,1,49,1.6,0.0000,0.0000
2013,1,1,3,0,8.3,1.1400000000000001,0.077,0.64,0,0,0,0,8,-1,0,0,0,0,0.304,52.03,138.74,0.9,0.16,1019,1,57,1.7000000000000002,0.0000,0.0000
2013,1,1,3,30,8.3,1.1400000000000001,0.077,0.64,0,0,0,0,4,-1,0,0,0,0,0.305,51.980000000000004,132.52,0.9,0.16,1018,1,63,1.7000000000000002,0.0000,0.0000
2013,1,1,4,0,8.3,1.1300000000000001,0.078,0.64,0,0,0,0,7,-1,0,0,0,0,0.306,51.9,126.31,0.9,0.16,1018,1,68,1.8,0.0000,0.0000
2013,1,1,4,30,8.200000000000001,1.1300000000000001,0.078,0.64,0,0,0,0,7,-1,0,0,0,0,0.307,52.25,120.13,0.9,0.16,1018,1,69,1.7000000000000002,0.0000,0.0000
2013,1,1,5,0,8.1,1.11,0.08,0.64,0,0,0,0,7,-1.4000000000000001,0,0,0,0,0.307,51.120000000000005,114.02,0.9,0.16,1018,1,69,1.6,0.0000,0.0000
2013,1,1,5,30,8,1.11,0.08,0.64,0,0,0,0,4,-1.4000000000000001,0,0,0,0,0.307,51.47,107.99000000000001,0.9,0.16,1018,1,61,1.6,0.0000,0.0000
2013,1,1,6,0,8,1.09,0.084,0.64,0,0,0,0,3,-1.6,0,0,0,0,0.306,50.83,102.06,0.9,0.16,1019,1,53,1.6,0.0000,0.0000
2013,1,1,6,30,8.200000000000001,1.09,0.084,0.64,0,0,0,0,7,-1.6,0,0,0,0,0.306,50.15,96.28,0.9,0.16,1019,1,50,1.9000000000000001,0.0000,0.0000
2013,1,1,7,0,8.5,1.07,0.085,0.64,0,0,0,0,4,-1.2000000000000002,0,0,0,0,0.305,50.63,90.07000000000001,0.9,0.16,1019,1,47,2.1,0.0000,0.0000
2013,1,1,7,30,9.5,1.07,0.085,0.64,30,303,56,7,4,-1.2000000000000002,32,0,7,32,0.305,47.34,85.09,0.9,0.16,1019,1,50,2.6,0.0000,0.0000
2013,1,1,8,0,10.5,1.05,0.085,0.64,50,507,138,0,4,-1.4000000000000001,12,0,0,12,0.304,43.63,80.02,0.9,0.16,1019,1,54,3.2,0.0000,0.0000
2013,1,1,8,30,11.4,1.05,0.085,0.64,63,633,225,0,4,-1.4000000000000001,83,1,0,83,0.304,41.11,75.21000000000001,0.9,0.16,1019,1,61,3.3000000000000003,4.0513,3.1123
