Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,201382,-,-,-,33.93,-118.42,-8,12,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2004,1,1,0,0,11.100000000000001,1.19,0.081,0.64,0,0,0,0,1,6,0,0,0,0,0.275,70.94,169.1,0.9,0.16,1015,1.1,88,0.9,0.0000,0.0000
2004,1,1,0,30,11,1.19,0.081,0.64,0,0,0,0,0,6,0,0,0,0,0.276,71.41,166.92000000000002,0.9,0.16,1015,1.1,90,0.9,0.0000,0.0000
2004,1,1,1,0,11,1.19,0.081,0.64,0,0,0,0,0,5.800000000000001,0,0,0,0,0.276,70.34,162.41,0.9,0.16,1015,1.1,92,1,0.0000,0.0000
2004,1,1,1,30,10.8,1.19,0.081,0.64,0,0,0,0,4,5.800000000000001,0,0,0,0,0.276,71.28,156.91,0.9,0.16,1015,1.1,93,1.2000000000000002,0.0000,0.0000
2004,1,1,2,0,10.600000000000001,1.2,0.077,0.64,0,0,0,0,4,5.4,0,0,0,0,0.276,70.46000000000001,150.99,0.89,0.16,1015,1.1,94,1.4000000000000001,0.0000,0.0000
2004,1,1,2,30,10.4,1.2,0.077,0.64,0,0,0,1,4,5.4,0,0,1,0,0.276,71.34,144.88,0.89,0.16,1014,1.1,97,1.5,0.0000,0.0000
2004,1,1,3,0,10.200000000000001,1.21,0.075,0.64,0,0,0,0,4,4.9,0,0,0,0,0.275,69.60000000000001,138.69,0.89,0.16,1014,1.1,100,1.6,0.0000,0.0000
2004,1,1,3,30,10.3,1.21,0.075,0.64,0,0,0,0,7,4.9,0,0,0,0,0.274,69.14,132.47,0.89,0.16,1014,1.1,100,1.6,0.0000,0.0000
2004,1,1,4,0,10.3,1.22,0.073,0.64,0,0,0,0,1,4.3,0,0,0,0,0.273,66.36,126.26,0.89,0.16,1015,1.1,101,1.5,0.0000,0.0000
2004,1,1,4,30,10.3,1.22,0.073,0.64,0,0,0,0,1,4.3,0,0,0,0,0.272,66.36,120.09,0.89,0.16,1015,1.2000000000000002,103,1.6,0.0000,0.0000
2004,1,1,5,0,10.200000000000001,1.22,0.07200000000000001,0.64,0,0,0,0,1,3.8000000000000003,0,0,0,0,0.272,64.65,113.98,0.89,0.16,1015,1.2000000000000002,105,1.7000000000000002,0.0000,0.0000
2004,1,1,5,30,10.100000000000001,1.22,0.07200000000000001,0.64,0,0,0,0,7,3.8000000000000003,0,0,0,0,0.271,65.08,107.95,0.89,0.16,1015,1.2000000000000002,107,1.8,0.0000,0.0000
2004,1,1,6,0,10,1.23,0.07,0.64,0,0,0,0,7,3.5,0,0,0,0,0.271,64.16,102.03,0.89,0.16,1016,1.3,109,1.9000000000000001,0.0000,0.0000
2004,1,1,6,30,10.3,1.23,0.07,0.64,0,0,0,0,1,3.5,0,0,0,0,0.269,62.89,96.25,0.89,0.16,1016,1.3,110,1.8,0.0000,0.0000
2004,1,1,7,0,10.5,1.24,0.07200000000000001,0.64,0,0,0,0,7,3.7,0,0,0,0,0.268,62.85,90.05,0.89,0.16,1016,1.4000000000000001,111,1.7000000000000002,0.0000,0.0000
2004,1,1,7,30,11.200000000000001,1.24,0.07200000000000001,0.64,29,328,57,7,7,3.7,33,2,7,34,0.267,60.050000000000004,85.07000000000001,0.9,0.16,1017,1.4000000000000001,117,1.7000000000000002,0.0000,0.0000
2004,1,1,8,0,11.9,1.24,0.076,0.64,48,516,137,0,7,4.800000000000001,55,4,0,56,0.265,61.74,80.01,0.9,0.16,1017,1.5,124,1.6,0.0000,0.0000
2004,1,1,8,30,12.600000000000001,1.24,0.076,0.64,60,638,223,0,7,4.800000000000001,121,28,0,128,0.263,59.03,75.21000000000001,0.9,0.16,1018,1.5,129,1.5,6.2478,4.7997
2004,1,1,9,0,13.4,1.25,0.077,0.64,70,714,305,0,7,5.7,172,67,0,194,0.262,59.620000000000005,70.77,0.9,0.16,1018,1.6,134,1.5,9.8627,7.6300
2004,1,1,9,30,13.700000000000001,1.25,0.077,0.64,77,770,380,0,6,5.7,118,6,0,120,0.26,58.47,66.79,0.9,0.16,1018,1.6,153,1.5,6.3131,4.9061
2004,1,1,10,0,14.100000000000001,1.18,0.088,0.64,86,790,440,0,7,6.2,236,114,0,287,0.258,58.980000000000004,63.36,0.9,0.16,1018,1.7000000000000002,172,1.6,15.4883,12.0710
2004,1,1,10,30,14.3,1.18,0.088,0.64,90,818,492,0,6,6.2,242,60,0,271,0.256,58.22,60.57,0.9,0.16,1018,1.7000000000000002,187,1.8,14.8900,11.6258
2004,1,1,11,0,14.600000000000001,1.2,0.08700000000000001,0.64,91,837,529,0,7,6.800000000000001,190,543,0,474,0.255,59.32,58.51,0.89,0.16,1017,1.7000000000000002,202,2,26.3536,20.5993
2004,1,1,11,30,14.8,1.2,0.08700000000000001,0.64,93,847,551,0,8,6.800000000000001,185,540,0,477,0.253,58.56,57.28,0.89,0.16,1017,1.7000000000000002,208,2.2,26.6941,20.8779
2004,1,1,12,0,15.100000000000001,1.21,0.083,0.64,92,852,557,0,8,7,186,582,0,504,0.251,58.33,56.92,0.89,0.16,1017,1.8,214,2.5,28.2571,22.1039
2004,1,1,12,30,15.4,1.21,0.083,0.64,91,848,547,0,0,7,91,848,0,547,0.251,57.17,57.44,0.89,0.16,1016,1.8,216,2.7,30.5862,23.9201
2004,1,1,13,0,15.600000000000001,1.19,0.116,0.64,101,799,514,0,1,7.300000000000001,101,799,0,514,0.25,57.63,58.84,0.88,0.16,1016,1.8,217,2.9000000000000004,28.5256,22.2934
2004,1,1,13,30,15.600000000000001,1.19,0.116,0.64,97,779,474,1,1,7.300000000000001,97,779,1,474,0.25,57.63,61.04,0.88,0.16,1016,1.8,218,3,25.9693,20.2706
2004,1,1,14,0,15.600000000000001,1.17,0.105,0.64,89,761,423,0,8,7.4,186,410,0,366,0.25,58.31,63.95,0.88,0.16,1016,1.8,219,3.1,19.6706,15.3238
2004,1,1,14,30,15.3,1.17,0.105,0.64,83,714,356,0,8,7.4,196,141,0,250,0.25,59.44,67.5,0.88,0.16,1016,1.9000000000000001,219,3,13.0767,10.1552
2004,1,1,15,0,15,1.1500000000000001,0.10300000000000001,0.64,75,654,281,7,8,7.7,132,468,7,280,0.25,61.86,71.57000000000001,0.89,0.16,1016,1.9000000000000001,220,2.9000000000000004,14.1305,10.9196
2004,1,1,15,30,14.200000000000001,1.1500000000000001,0.10300000000000001,0.64,63,561,198,0,8,7.7,127,112,0,154,0.251,65.12,76.08,0.89,0.16,1016,2,221,2.4000000000000004,7.4630,5.7241
2004,1,1,16,0,13.4,1.1300000000000001,0.098,0.64,47,432,115,0,7,8.5,84,45,0,91,0.251,72.02,80.94,0.89,0.16,1017,2,223,1.9000000000000001,0.0000,0.0000
2004,1,1,16,30,12.8,1.1300000000000001,0.098,0.64,25,217,40,7,7,8.5,33,5,7,34,0.252,74.89,86.04,0.9,0.16,1017,2,224,1.8,0.0000,0.0000
2004,1,1,17,0,12.100000000000001,1.11,0.092,0.64,0,0,0,0,0,9.1,0,0,0,0,0.252,81.88,91.68,0.9,0.16,1017,2.1,226,1.7000000000000002,0.0000,0.0000
2004,1,1,17,30,12,1.11,0.092,0.64,0,0,0,0,1,9.1,0,0,0,0,0.253,82.42,97.32000000000001,0.9,0.16,1017,2.1,228,1.6,0.0000,0.0000
2004,1,1,18,0,11.8,1.09,0.09,0.64,0,0,0,0,1,9.700000000000001,0,0,0,0,0.254,86.91,103.13,0.9,0.16,1017,2.1,229,1.6,0.0000,0.0000
2004,1,1,18,30,11.700000000000001,1.09,0.09,0.64,0,0,0,0,7,9.700000000000001,0,0,0,0,0.254,87.48,109.07000000000001,0.91,0.16,1017,2.1,227,1.5,0.0000,0.0000
2004,1,1,19,0,11.700000000000001,1.06,0.091,0.64,0,0,0,0,7,10.100000000000001,0,0,0,0,0.254,89.99,115.11,0.91,0.16,1017,2,224,1.4000000000000001,0.0000,0.0000
2004,1,1,19,30,11.700000000000001,1.06,0.091,0.64,0,0,0,0,7,10.100000000000001,0,0,0,0,0.254,89.99,121.24000000000001,0.92,0.16,1017,2,219,1.3,0.0000,0.0000
2004,1,1,20,0,11.8,1.05,0.091,0.64,0,0,0,0,7,10.3,0,0,0,0,0.253,90.5,127.42,0.92,0.16,1017,2,215,1.2000000000000002,0.0000,0.0000
2004,1,1,20,30,11.9,1.05,0.091,0.64,0,0,0,0,7,10.3,0,0,0,0,0.253,89.91,133.63,0.92,0.16,1017,2,211,1.1,0.0000,0.0000
2004,1,1,21,0,11.9,1.04,0.089,0.64,0,0,0,0,7,10.3,0,0,0,0,0.252,90.2,139.85,0.92,0.16,1017,1.9000000000000001,207,1,0.0000,0.0000
2004,1,1,21,30,12,1.04,0.089,0.64,0,0,0,0,7,10.3,0,0,0,0,0.251,89.61,146.03,0.92,0.16,1017,1.9000000000000001,198,0.9,0.0000,0.0000
2004,1,1,22,0,12,1.05,0.08700000000000001,0.64,0,0,0,0,7,10.3,0,0,0,0,0.251,89.41,152.11,0.92,0.16,1017,1.9000000000000001,189,0.8,0.0000,0.0000
2004,1,1,22,30,12,1.05,0.08700000000000001,0.64,0,0,0,0,7,10.3,0,0,0,0,0.25,89.32000000000001,157.96,0.92,0.16,1016,1.9000000000000001,174,0.8,0.0000,0.0000
2004,1,1,23,0,12,1.06,0.083,0.64,0,0,0,0,7,10.200000000000001,0,0,0,0,0.249,88.93,163.33,0.92,0.16,1016,1.9000000000000001,159,0.9,0.0000,0.0000
2004,1,1,23,30,11.9,1.06,0.083,0.64,0,0,0,0,7,10.200000000000001,0,0,0,0,0.249,89.52,167.5,0.92,0.16,1016,2,151,0.9,0.0000,0.0000
